[INFO] 2025-01-12 10:25:06,903 autoreload Watching for file changes with StatReloader
[INFO] 2025-01-17 02:12:05,264 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 159
[WARNING] 2025-01-17 02:12:05,278 log Forbidden: /api/organizations/f5bd6848-fcc4-4516-ba2f-d356854e32b7/
[WARNING] 2025-01-17 02:12:05,278 basehttp "GET /api/organizations/f5bd6848-fcc4-4516-ba2f-d356854e32b7/ HTTP/1.1" 403 63
[INFO] 2025-01-17 05:12:38,969 basehttp "GET /admin/ HTTP/1.1" 302 0
[INFO] 2025-01-17 05:12:39,040 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4157
[INFO] 2025-01-17 05:12:39,092 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
[INFO] 2025-01-17 05:12:39,092 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
[INFO] 2025-01-17 05:12:39,093 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[INFO] 2025-01-17 05:12:39,093 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
[INFO] 2025-01-17 05:12:39,093 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
[INFO] 2025-01-17 05:12:39,094 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
[INFO] 2025-01-17 05:12:39,096 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
[INFO] 2025-01-17 05:12:46,236 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
[INFO] 2025-01-17 05:12:46,280 basehttp "GET /admin/ HTTP/1.1" 200 12984
[INFO] 2025-01-17 05:12:46,296 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
[INFO] 2025-01-17 05:12:46,309 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[INFO] 2025-01-17 05:12:46,310 basehttp "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 200 380
[INFO] 2025-01-17 05:12:55,200 basehttp "GET /admin/core/user/ HTTP/1.1" 200 15866
[INFO] 2025-01-17 05:12:55,218 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
[INFO] 2025-01-17 05:12:55,218 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
[INFO] 2025-01-17 05:12:55,219 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[INFO] 2025-01-17 05:12:55,219 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9097
[INFO] 2025-01-17 05:12:55,221 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
[INFO] 2025-01-17 05:12:55,227 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
[INFO] 2025-01-17 05:12:55,228 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[INFO] 2025-01-17 05:12:55,228 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
[INFO] 2025-01-17 05:12:55,228 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
[INFO] 2025-01-17 05:12:55,231 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
[INFO] 2025-01-17 05:12:55,242 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-17 05:12:55,285 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[INFO] 2025-01-17 05:13:12,364 basehttp "GET /admin/core/user/ HTTP/1.1" 200 15866
[INFO] 2025-01-17 05:13:12,393 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-17 05:13:14,758 basehttp "GET /admin/core/user/?o=1 HTTP/1.1" 200 16306
[INFO] 2025-01-17 05:13:14,775 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-17 05:13:14,791 basehttp "GET /static/admin/img/sorting-icons.svg HTTP/1.1" 200 1097
[INFO] 2025-01-17 05:13:16,677 basehttp "GET /admin/core/user/7/change/?_changelist_filters=o%3D1 HTTP/1.1" 200 27670
[INFO] 2025-01-17 05:13:16,692 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
[INFO] 2025-01-17 05:13:16,702 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[INFO] 2025-01-17 05:13:16,703 basehttp "GET /static/admin/js/calendar.js HTTP/1.1" 200 9141
[INFO] 2025-01-17 05:13:16,705 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
[INFO] 2025-01-17 05:13:16,705 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-17 05:13:16,706 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[INFO] 2025-01-17 05:13:16,706 basehttp "GET /static/admin/js/admin/DateTimeShortcuts.js HTTP/1.1" 200 19319
[INFO] 2025-01-17 05:13:16,707 basehttp "GET /static/admin/img/icon-viewlink.svg HTTP/1.1" 200 581
[INFO] 2025-01-17 05:13:16,734 basehttp "GET /static/admin/img/icon-calendar.svg HTTP/1.1" 200 1086
[INFO] 2025-01-17 05:13:16,734 basehttp "GET /static/admin/img/icon-clock.svg HTTP/1.1" 200 677
[INFO] 2025-01-17 05:22:22,004 autoreload Watching for file changes with StatReloader
[INFO] 2025-01-17 05:22:29,249 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[INFO] 2025-01-17 05:22:29,631 basehttp "POST /api/auth/login/ HTTP/1.1" 200 635
[INFO] 2025-01-17 05:22:34,660 basehttp "POST /api/auth/login/ HTTP/1.1" 200 635
[INFO] 2025-01-17 05:22:54,728 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[WARNING] 2025-01-17 05:22:54,735 log Unauthorized: /api/auth/profile/
[WARNING] 2025-01-17 05:22:54,736 basehttp "GET /api/auth/profile/ HTTP/1.1" 401 183
[WARNING] 2025-01-17 05:24:48,409 log Unauthorized: /api/auth/profile/
[WARNING] 2025-01-17 05:24:48,410 basehttp "GET /api/auth/profile/ HTTP/1.1" 401 183
[INFO] 2025-01-17 05:27:16,642 basehttp "POST /api/auth/login/ HTTP/1.1" 200 635
[INFO] 2025-01-18 12:14:28,747 autoreload Watching for file changes with StatReloader
[INFO] 2025-01-18 12:19:35,570 basehttp "GET / HTTP/1.1" 200 935
[INFO] 2025-01-18 12:19:35,624 basehttp "GET /static/drf-yasg/insQ.min.js HTTP/1.1" 304 0
[INFO] 2025-01-18 12:19:35,634 basehttp "GET /static/drf-yasg/redoc-init.js HTTP/1.1" 200 2566
[INFO] 2025-01-18 12:19:35,634 basehttp "GET /static/drf-yasg/style.css HTTP/1.1" 200 1047
[INFO] 2025-01-18 12:19:35,638 basehttp "GET /static/drf-yasg/redoc/redoc.min.js HTTP/1.1" 200 1042511
[INFO] 2025-01-18 12:19:35,769 basehttp "GET /?format=openapi HTTP/1.1" 200 18334
[INFO] 2025-01-18 12:25:06,789 basehttp "GET /admin/core/user/ HTTP/1.1" 302 0
[INFO] 2025-01-18 12:25:06,827 basehttp "GET /admin/login/?next=/admin/core/user/ HTTP/1.1" 200 4177
[INFO] 2025-01-18 12:25:06,856 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
[INFO] 2025-01-18 12:25:06,860 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
[INFO] 2025-01-18 12:25:06,860 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
[INFO] 2025-01-18 12:25:06,861 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
[INFO] 2025-01-18 12:25:06,861 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
[INFO] 2025-01-18 12:25:06,862 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
[INFO] 2025-01-18 12:25:06,863 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
[INFO] 2025-01-18 12:25:10,567 basehttp "POST /admin/login/?next=/admin/core/user/ HTTP/1.1" 302 0
[INFO] 2025-01-18 12:25:10,628 basehttp "GET /admin/core/user/ HTTP/1.1" 200 15866
[INFO] 2025-01-18 12:25:10,640 basehttp "GET /static/admin/css/changelists.css HTTP/1.1" 200 6878
[INFO] 2025-01-18 12:25:10,640 basehttp "GET /static/admin/js/admin/RelatedObjectLookups.js HTTP/1.1" 200 9097
[INFO] 2025-01-18 12:25:10,641 basehttp "GET /static/admin/js/core.js HTTP/1.1" 200 6208
[INFO] 2025-01-18 12:25:10,643 basehttp "GET /static/admin/js/jquery.init.js HTTP/1.1" 200 347
[INFO] 2025-01-18 12:25:10,643 basehttp "GET /static/admin/js/actions.js HTTP/1.1" 200 8076
[INFO] 2025-01-18 12:25:10,643 basehttp "GET /static/admin/js/urlify.js HTTP/1.1" 200 7887
[INFO] 2025-01-18 12:25:10,645 basehttp "GET /static/admin/js/prepopulate.js HTTP/1.1" 200 1531
[INFO] 2025-01-18 12:25:10,645 basehttp "GET /static/admin/js/filters.js HTTP/1.1" 200 978
[INFO] 2025-01-18 12:25:10,646 basehttp "GET /static/admin/js/vendor/jquery/jquery.js HTTP/1.1" 200 285314
[INFO] 2025-01-18 12:25:10,647 basehttp "GET /static/admin/js/vendor/xregexp/xregexp.js HTTP/1.1" 200 325171
[INFO] 2025-01-18 12:25:10,661 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 12:25:10,719 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
[INFO] 2025-01-18 12:25:10,719 basehttp "GET /static/admin/img/tooltag-add.svg HTTP/1.1" 200 331
[INFO] 2025-01-18 12:25:29,645 basehttp "POST /admin/core/user/ HTTP/1.1" 200 13149
[INFO] 2025-01-18 12:25:29,667 basehttp "GET /static/admin/js/cancel.js HTTP/1.1" 200 884
[INFO] 2025-01-18 12:25:30,856 basehttp "POST /admin/core/user/ HTTP/1.1" 302 0
[INFO] 2025-01-18 12:25:30,891 basehttp "GET /admin/core/user/ HTTP/1.1" 200 14194
[INFO] 2025-01-18 12:25:30,912 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 12:25:30,924 basehttp "GET /static/admin/img/icon-yes.svg HTTP/1.1" 200 436
[INFO] 2025-01-18 12:54:56,421 basehttp "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
[INFO] 2025-01-18 12:54:56,848 basehttp "POST /api/auth/register/ HTTP/1.1" 201 483
[INFO] 2025-01-18 12:56:58,848 basehttp "GET /admin/core/user/ HTTP/1.1" 200 14414
[INFO] 2025-01-18 12:56:58,913 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 12:57:09,480 basehttp "POST /admin/core/user/ HTTP/1.1" 200 12420
[INFO] 2025-01-18 12:57:10,597 basehttp "POST /admin/core/user/ HTTP/1.1" 302 0
[INFO] 2025-01-18 12:57:10,621 basehttp "GET /admin/core/user/ HTTP/1.1" 200 14193
[INFO] 2025-01-18 12:57:10,636 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 13:28:12,198 basehttp "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
[INFO] 2025-01-18 13:28:12,958 basehttp "POST /api/auth/register/ HTTP/1.1" 201 483
[INFO] 2025-01-18 13:29:21,120 basehttp "GET /admin/core/user/ HTTP/1.1" 200 14414
[INFO] 2025-01-18 13:29:21,145 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 13:29:26,508 basehttp "POST /admin/core/user/ HTTP/1.1" 200 12420
[INFO] 2025-01-18 13:29:27,633 basehttp "POST /admin/core/user/ HTTP/1.1" 302 0
[INFO] 2025-01-18 13:29:27,663 basehttp "GET /admin/core/user/ HTTP/1.1" 200 14193
[INFO] 2025-01-18 13:29:27,687 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 13:29:47,434 basehttp "POST /api/auth/register/ HTTP/1.1" 201 486
[INFO] 2025-01-18 13:30:44,863 basehttp "POST /api/auth/register/ HTTP/1.1" 201 486
[INFO] 2025-01-18 13:34:21,897 basehttp "OPTIONS /api/organizations/ HTTP/1.1" 200 0
[INFO] 2025-01-18 13:34:22,268 basehttp "POST /api/organizations/ HTTP/1.1" 201 155
[INFO] 2025-01-18 13:38:39,103 basehttp "GET /admin/core/user/ HTTP/1.1" 200 14793
[INFO] 2025-01-18 13:38:39,182 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 13:38:42,840 basehttp "GET /admin/organizations/organization/ HTTP/1.1" 200 14143
[INFO] 2025-01-18 13:38:42,859 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 13:38:45,818 basehttp "GET /admin/organizations/organization/651eed49-ba1b-4ce1-9b48-5f4184561171/change/ HTTP/1.1" 200 13517
[INFO] 2025-01-18 13:38:45,832 basehttp "GET /static/admin/css/forms.css HTTP/1.1" 200 8794
[INFO] 2025-01-18 13:38:45,840 basehttp "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 200 586
[INFO] 2025-01-18 13:38:45,840 basehttp "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
[INFO] 2025-01-18 13:38:45,841 basehttp "GET /static/admin/css/widgets.css HTTP/1.1" 200 11564
[INFO] 2025-01-18 13:38:45,878 basehttp "GET /admin/jsi18n/ HTTP/1.1" 200 3342
[INFO] 2025-01-18 13:47:49,909 basehttp "OPTIONS /api/auth/refresh/ HTTP/1.1" 200 0
[INFO] 2025-01-18 13:47:50,629 basehttp "POST /api/auth/refresh/ HTTP/1.1" 200 486
[WARNING] 2025-01-18 13:47:53,998 log Unauthorized: /api/auth/refresh/
[WARNING] 2025-01-18 13:47:54,000 basehttp "POST /api/auth/refresh/ HTTP/1.1" 401 58
[WARNING] 2025-01-18 13:52:50,465 log Unauthorized: /api/auth/refresh/
[WARNING] 2025-01-18 13:52:50,468 basehttp "POST /api/auth/refresh/ HTTP/1.1" 401 58
[WARNING] 2025-01-18 13:54:40,702 log Unauthorized: /api/auth/refresh/
[WARNING] 2025-01-18 13:54:40,706 basehttp "POST /api/auth/refresh/ HTTP/1.1" 401 58
[INFO] 2025-01-18 13:56:56,165 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[INFO] 2025-01-18 13:56:57,040 basehttp "POST /api/auth/login/ HTTP/1.1" 200 547
[INFO] 2025-01-18 13:57:01,638 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-18 13:57:09,213 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-18 13:57:27,241 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[WARNING] 2025-01-18 13:57:27,255 log Unauthorized: /api/auth/profile/
[WARNING] 2025-01-18 13:57:27,256 basehttp "GET /api/auth/profile/ HTTP/1.1" 401 183
[INFO] 2025-01-18 16:23:29,724 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[INFO] 2025-01-18 16:23:30,496 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-18 16:23:54,247 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[WARNING] 2025-01-18 16:23:54,485 log Unauthorized: /api/auth/profile/
[WARNING] 2025-01-18 16:23:54,485 log Unauthorized: /api/auth/profile/
[WARNING] 2025-01-18 16:23:54,488 basehttp "GET /api/auth/profile/ HTTP/1.1" 401 183
[WARNING] 2025-01-18 16:23:54,489 basehttp "GET /api/auth/profile/ HTTP/1.1" 401 183
[INFO] 2025-01-18 16:24:37,957 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-18 16:24:38,594 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-18 16:24:38,594 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-19 05:59:40,268 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-19 05:59:40,557 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-19 05:59:55,598 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-19 06:09:21,489 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[WARNING] 2025-01-19 08:12:42,554 log Unauthorized: /api/organizations/
[WARNING] 2025-01-19 08:12:42,559 basehttp "POST /api/organizations/ HTTP/1.1" 401 183
[INFO] 2025-01-19 08:12:52,441 basehttp "POST /api/auth/login/ HTTP/1.1" 200 635
[WARNING] 2025-01-19 08:13:09,549 log Forbidden: /api/organizations/
[WARNING] 2025-01-19 08:13:09,550 basehttp "POST /api/organizations/ HTTP/1.1" 403 54
[INFO] 2025-01-19 08:14:17,484 basehttp "POST /api/auth/register/ HTTP/1.1" 201 486
[INFO] 2025-01-19 08:14:28,641 basehttp "POST /api/organizations/ HTTP/1.1" 201 151
[INFO] 2025-01-19 08:18:38,587 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:18:39,066 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-19 08:19:59,507 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 157
[INFO] 2025-01-19 08:20:37,310 basehttp "OPTIONS /api/auth/register/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:20:37,742 basehttp "POST /api/auth/register/ HTTP/1.1" 201 486
[INFO] 2025-01-19 08:20:52,877 basehttp "OPTIONS /api/organizations/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:20:52,910 basehttp "POST /api/organizations/ HTTP/1.1" 201 151
[INFO] 2025-01-19 08:20:58,574 basehttp "OPTIONS /api/auth/refresh/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:20:58,608 basehttp "POST /api/auth/refresh/ HTTP/1.1" 200 486
[WARNING] 2025-01-19 08:21:06,079 log Unauthorized: /api/auth/refresh/
[WARNING] 2025-01-19 08:21:06,079 basehttp "POST /api/auth/refresh/ HTTP/1.1" 401 58
[INFO] 2025-01-19 08:21:10,504 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:21:10,856 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-19 08:21:11,498 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-19 08:21:11,605 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-19 08:35:04,965 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:35:06,136 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-19 08:35:39,551 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-19 08:35:47,318 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:35:47,747 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-19 08:35:51,230 basehttp "OPTIONS /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:35:51,249 basehttp "OPTIONS /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:35:51,452 basehttp "GET /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 151
[INFO] 2025-01-19 08:35:51,460 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-19 08:35:51,461 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-19 08:35:51,466 basehttp "GET /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 151
[INFO] 2025-01-19 08:36:45,091 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-19 08:36:45,104 basehttp "GET /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 151
[INFO] 2025-01-19 08:37:33,965 basehttp "GET /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 151
[INFO] 2025-01-19 08:37:42,739 basehttp "GET /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 151
[INFO] 2025-01-19 08:57:52,517 basehttp "OPTIONS /api/contracts/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:57:53,235 basehttp "GET /api/contracts/ HTTP/1.1" 200 2
[INFO] 2025-01-19 08:57:53,236 basehttp - Broken pipe from ('127.0.0.1', 61777)
[INFO] 2025-01-19 08:59:14,456 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-19 08:59:14,584 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-19 08:59:14,597 basehttp "GET /api/contracts/ HTTP/1.1" 200 2
[INFO] 2025-01-20 04:19:31,119 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-20 04:19:31,120 basehttp "OPTIONS /api/contracts/ HTTP/1.1" 200 0
[INFO] 2025-01-20 04:19:31,396 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-20 04:19:31,513 basehttp "GET /api/contracts/ HTTP/1.1" 200 2
[INFO] 2025-01-20 16:47:22,678 autoreload Watching for file changes with StatReloader
[INFO] 2025-01-20 17:02:32,981 basehttp "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
[INFO] 2025-01-20 17:02:33,544 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-20 17:02:39,020 basehttp "POST /api/auth/login/ HTTP/1.1" 200 638
[INFO] 2025-01-20 17:02:41,993 basehttp "OPTIONS /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 0
[INFO] 2025-01-20 17:02:41,994 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-20 17:02:42,007 basehttp "OPTIONS /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 0
[INFO] 2025-01-20 17:02:42,009 basehttp "OPTIONS /api/auth/profile/ HTTP/1.1" 200 0
[INFO] 2025-01-20 17:02:42,288 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-20 17:02:42,298 basehttp "GET /api/auth/profile/ HTTP/1.1" 200 170
[INFO] 2025-01-20 17:02:42,340 basehttp "GET /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 151
[INFO] 2025-01-20 17:02:42,341 basehttp "GET /api/organizations/fdb4adcb-ee23-403d-818f-a81e7041fa3b/ HTTP/1.1" 200 151
[INFO] 2025-01-20 17:03:08,205 basehttp "OPTIONS /api/contracts/ HTTP/1.1" 200 0
[INFO] 2025-01-20 17:03:08,206 basehttp "OPTIONS /api/contracts/ HTTP/1.1" 200 0
[INFO] 2025-01-20 17:03:08,285 basehttp "GET /api/contracts/ HTTP/1.1" 200 2
[INFO] 2025-01-20 17:03:08,286 basehttp "GET /api/contracts/ HTTP/1.1" 200 2
